Customer_ID,Name,Age,Street,City,State,Postal_Code,Phone_Number
CUST-EWLTWF,Customer_0,56,Ocean Drive 189,Riverside,TX,91962,+1-765-557-7254
CUST-QRWRCV,Customer_1,57,Main Street 108,Riverside,NY,43015,+1-606-593-4886
CUST-UAUBYI,Customer_2,70,Ocean Drive 38,Fairview,FL,67986,+1-846-846-9270
CUST-WINYRB,Customer_3,32,Highland Avenue 159,Riverside,NY,18001,+1-970-990-9652
CUST-TFEJMN,Customer_4,76,Highland Avenue 40,Fairview,TX,17037,+1-674-166-5609
CUST-POCNLO,Customer_5,64,Highland Avenue 48,Springfield,CA,54490,+1-347-944-2238
CUST-QZQZOE,Customer_6,34,Ocean Drive 178,Lakeview,FL,94897,+1-207-767-3035
CUST-PWHZRU,Customer_7,70,Sunset Boulevard 200,Lakeview,FL,34332,+1-207-686-1209
CUST-IIGGGS,Customer_8,60,Highland Avenue 86,Springfield,FL,68792,+1-674-269-8647
CUST-BBICOG,Customer_9,65,Sunset Boulevard 106,Riverside,TX,96562,+1-881-658-8518
CUST-JDQGZV,Customer_10,49,Baker Street 195,Greenville,CA,23028,+1-426-236-8214
CUST-HRDTDD,Customer_11,65,Sunset Boulevard 4,Riverside,NY,91851,+1-287-623-4584
CUST-MLJRYA,Customer_12,44,Sunset Boulevard 169,Fairview,IL,24133,+1-940-928-6320
CUST-WMGAAV,Customer_13,51,Main Street 181,Springfield,IL,30688,+1-652-599-6428
CUST-FUFQNG,Customer_14,72,Highland Avenue 124,Greenville,TX,64724,+1-967-790-7323
CUST-PZDYIP,Customer_15,65,Sunset Boulevard 48,Lakeview,TX,91363,+1-919-977-5185
CUST-TRMNQN,Customer_16,78,Ocean Drive 115,Greenville,IL,49836,+1-724-938-7620
CUST-CRFVZY,Customer_17,45,Main Street 144,Greenville,CA,93001,+1-596-422-9234
CUST-LULGYE,Customer_18,60,Main Street 142,Fairview,IL,53948,+1-459-797-9806
CUST-HCBSEU,Customer_19,21,Baker Street 156,Lakeview,NY,70625,+1-779-840-6346
CUST-JHXDLE,Customer_20,20,Ocean Drive 94,Greenville,CA,74313,+1-915-698-2359
CUST-TMWVFN,Customer_21,20,Highland Avenue 163,Springfield,IL,66010,+1-328-820-8673
CUST-NNCHDN,Customer_22,59,Sunset Boulevard 177,Greenville,CA,37198,+1-706-974-4242
CUST-IIGGGS,Customer_23,40,Highland Avenue 99,Springfield,FL,69892,+1-827-333-6223
CUST-RHAJJC,Customer_24,59,Highland Avenue 147,Lakeview,CA,53684,+1-944-756-8513
CUST-OXIJIF,Customer_25,72,Sunset Boulevard 194,Greenville,CA,75013,+1-828-341-4700
CUST-DUJYSF,Customer_26,29,Highland Avenue 44,Springfield,FL,99112,+1-584-858-1063
CUST-DNUNPV,Customer_27,28,Highland Avenue 103,Greenville,FL,16682,+1-290-269-8324
CUST-JWNZNG,Customer_28,37,Baker Street 20,Lakeview,IL,94977,+1-579-407-6319
CUST-FMVDWA,Customer_29,46,Sunset Boulevard 168,Lakeview,FL,27529,+1-335-817-4654
CUST-ODANJT,Customer_30,72,Ocean Drive 156,Greenville,NY,37614,+1-814-591-2965
